name	type	tags
Why should we use t errors instead of normal errors?	question	distributions,bayesian,normal-distribution,model,robust
Supervised learning, unsupervised learning and reinforcement learning: Workflow basics	question	machine-learning,unsupervised-learning,supervised-learning,reinforcement-learning
Why does the variance of the Random walk increase?	question	time-series,self-study,mathematical-statistics,stochastic-processes,random-walk
R: Random Forest throwing NaN/Inf in &quot;foreign function call&quot; error despite no NaN&#39;s in dataset	question	r,random-forest,caret
Statistical methods for data where only a minimum/maximum value is known	question	biostatistics,population,bounds,interval-censoring
Is there a plateau-shaped distribution?	question	distributions,normal-distribution,uniform
Help me understand the quantile (inverse CDF) function	question	distributions,cdf,inverse-cdf
Is there Factor analysis or PCA for ordinal or binary data?	question	pca,factor-analysis,ordinal-data,binary-data,likert
Why is the mean function in Gaussian Process uninteresting?	question	gaussian-process
Why use colormap viridis over jet?	question	data-visualization
Why are non zero-centered activation functions a problem in backpropagation?	question	neural-networks,deep-learning,backpropagation
What are the properties of a half Cauchy distribution?	question	distributions,bayesian,prior,state-space-models,cauchy
Is the sum of two white noise processes necessarily a white noise?	question	time-series,econometrics,white-noise
Independent variable = Random variable?	question	regression,random-variable,experiment-design,predictor
Are 50% confidence intervals more robustly estimated than 95% confidence intervals?	question	confidence-interval,assumptions,robust
Why is the expected value named so?	question	expected-value,terminology,history
Is an overfitted model necessarily useless?	question	model,accuracy,overfitting
What is a manifold?	question	terminology,manifold-learning
What is the intuition behind the formula for conditional probability?	question	probability,conditional-probability,intuition
Why does glmnet use &quot;naive&quot; elastic net from the Zou &amp; Hastie original paper?	question	regression,regularization,glmnet,elastic-net,shrinkage
Utility of feature-engineering : Why create new features based on existing features?	question	machine-learning,feature-engineering
Why is PCA sensitive to outliers?	question	machine-learning,pca,outliers
Extrapolation v. Interpolation	question	terminology,interpolation,extrapolation
What are the branches of statistics?	question	self-study,classification
Who is Gail Gasram?	question	entropy,random
Choosing a bandwidth for kernel density estimators	question	smoothing,kernel-smoothing
Why isn&#39;t RANSAC most widely used in statistics?	question	outliers,bootstrap,robust
What is the best method for checking convergence in MCMC?	question	bayesian,mcmc
Statistical podcasts	question	references
How to represent an unbounded variable as number between 0 and 1	question	normalization
Test for finite variance?	question	hypothesis-testing,variance,central-limit-theorem
How to do dimensionality reduction in R	question	r,clustering,dimensionality-reduction
Are there default functions for discrete uniform distributions in R?	question	r,distributions,uniform
Gradient of Hinge loss	question	loss-functions
Is interaction possible between two continuous variables?	question	regression,modeling,interaction
When to log transform a time series before fitting an ARIMA model	question	r,time-series,data-transformation,forecasting,arima
An adaptation of the Kullback-Leibler distance?	question	kullback-leibler
A good Gibbs sampling tutorials and references	question	references,gibbs
Problems with pie charts	question	data-visualization,many-categories,pie-chart
Produce a list of variable name in a for loop, then assign values to them	question	r
Equivalence between least squares and MLE in Gaussian model	question	regression,bayesian,least-squares
What are the measure for accuracy of multilabel data?	question	machine-learning,data-mining,multilabel
How to perform orthogonal regression (total least squares) via PCA?	question	r,pca,least-squares,deming-regression,total-least-squares
Do null and alternative hypotheses have to be exhaustive or not?	question	hypothesis-testing
Computing p-value using bootstrap with R	question	r,hypothesis-testing,p-value,bootstrap,permutation-test
What are the dangers of violating the homoscedasticity assumption for linear regression?	question	r,regression,heteroscedasticity,assumptions
Estimating same model over multiple time series	question	time-series
PCA, LDA, CCA, and PLS	question	pca,discriminant-analysis,partial-least-squares,canonical-correlation
Differences between a statistical model and a probability model?	question	probability,mathematical-statistics
SVD of correlated matrix should be additive but doesn&#39;t appear to be	question	correlation,multivariate-analysis,svd
What is the minimum recommended number of groups for a random effects factor?	question	mixed-model,sample-size
What is the difference between EM and Gradient Ascent?	question	gradient-descent,expectation-maximization
Why are Gaussian process models called non-parametric?	question	nonparametric,gaussian-process
Best factor extraction methods in factor analysis	question	spss,pca,factor-analysis
What is the difference in what AIC and c-statistic (AUC) actually measure for model fit?	question	logistic,roc,aic,auc
Is it essential to do normalization for SVM and Random Forest?	question	machine-learning,svm,random-forest,normalization
How do I interpret the &#39;correlations of fixed effects&#39; in my glmer output?	question	mixed-model,poisson-distribution,lme4-nlme
Internal vs external cross-validation and model selection	question	estimation,cross-validation,references
Why could centering independent variables change the main effects with moderation?	question	regression,interaction,centering
Feature selection &amp; model with glmnet on Methylation data (p&gt;&gt;N)	question	r,regularization,glmnet,elastic-net,underdetermined
Simple examples of uncorrelated but not independent $X$ and $Y$	question	correlation,random-variable,independence
Why does my bootstrap interval have terrible coverage?	question	bootstrap,diagnostic
Deep belief networks or Deep Boltzmann Machines?	question	machine-learning,deep-learning,rbm,deep-belief-networks
Difference between Bayesian networks and Markov process?	question	bayesian,references,modeling,markov-process,bayesian-network
Satterthwaite vs. Kenward-Roger approximations for the degrees of freedom in mixed models	question	r,anova,mixed-model,lme4-nlme,degrees-of-freedom
Why is the sampling distribution of variance a chi-squared distribution?	question	distributions,normal-distribution,sampling,chi-squared,sample-size
Outlier Detection on skewed Distributions	question	distributions,outliers,skewness,exponential,interquartile
How well does bootstrapping approximate the sampling distribution of an estimator?	question	bootstrap,simulation,resampling
Why is lambda &quot;within one standard error from the minimum&quot; is a recommended value for lambda in an elastic net regression?	question	regression,cross-validation,regularization,glmnet,elastic-net
What&#39;s the difference between the variance and the mean squared error?	question	variance,error
How to calculate the prediction interval for an OLS multiple regression?	question	multiple-regression,least-squares,prediction-interval
How to tell the difference between linear and non-linear regression models?	question	regression,multiple-regression,nonlinear-regression,multicollinearity
Is rejecting the hypothesis using p-value equivalent to hypothesis not belonging to the confidence interval?	question	hypothesis-testing,confidence-interval,p-value
predict() Function for lmer Mixed Effects Models	question	r,mixed-model,lme4-nlme
Why is Laplace prior producing sparse solutions?	question	regression,bayesian,prior,regularization,laplace-distribution
Jaynes&#39; $A_p$ distribution	question	probability,bayesian,beta-distribution
Why is Lasso penalty equivalent to the double exponential (Laplace) prior?	question	regression,bayesian,lasso,prior,regularization
Has the journal Science endorsed the Garden of Forking Pathes Analyses?	question	hypothesis-testing,overfitting,eda,out-of-sample,differential-privacy
Wikipedia entry on likelihood seems ambiguous	question	probability,bayesian,conditional-probability,likelihood,definition
Entropy of an image	question	spatial,entropy,image-processing
Can a meta-analysis of studies which are all &quot;not statistically signficant&quot; lead to a &quot;significant&quot; conclusion?	question	statistical-significance,meta-analysis,combining-p-values
Distinguishing between two groups in statistics and machine learning: hypothesis test vs. classification vs. clustering	question	machine-learning,hypothesis-testing,t-test,unsupervised-learning,supervised-learning
Can degrees of freedom be a non-integer number?	question	r,degrees-of-freedom,gam
If X and Y are uncorrelated, are X^2 and Y also uncorrelated?	question	random-variable,independence
White Noise in Statistics	question	normal-distribution,white-noise
What is it meant with the $\sigma$-algebra generated by a random variable?	question	probability,random-variable,sigma-algebra
What is the rationale of the Mat&#233;rn covariance function?	question	spatial,gaussian-process,kernel-trick
Why study convex optimization for theoretical machine learning?	question	machine-learning,optimization,convex,transfer-learning
Are unbalanced datasets problematic, and (how) does oversampling (purport to) help?	question	unbalanced-classes,oversampling
Why do we not care about completeness, sufficiency of an estimator as much anymore?	question	mathematical-statistics,sufficient-statistics,complete-statistics
R: Problem with runif: generated number repeats (more often than expected) after less than 100 000 steps	question	r,uniform,random
What R packages do you find most useful in your daily work?	question	r
Unsupervised, supervised and semi-supervised learning	question	machine-learning,unsupervised-learning,supervised-learning,semi-supervised
Any suggestions for making R code use multiple processors?	question	r,parallel-computing,multicore
What are &quot;degrees of freedom&quot;?	question	degrees-of-freedom
Statistics/Probability Videos for Beginners	question	references
What are alternatives to broken axes?	question	data-visualization,logarithm
How to perform Student&#39;s t-test having only sample size, sample average and population average are known?	question	t-test,standard-deviation,small-sample
How do I decide what span to use in LOESS regression in R?	question	r,regression,loess
Getting seRious about time series with R	question	r,time-series
How can I test the fairness of a d20?	question	hypothesis-testing,chi-squared,goodness-of-fit,uniform,dice
Who to follow on github to learn about best practice in data analysis?	question	r,reproducible-research
Can AIC compare across different types of model?	question	lme4-nlme,model-selection,aic
What is behind Google Prediction API?	question	machine-learning
What are some interesting and well-written applied statistics papers?	question	references,application
Is PCA unstable under multicollinearity?	question	pca,multicollinearity
Meaning of probability notations $P(z;d,w)$ and $P(z|d,w)$	question	probability,notation
Number of features vs. number of observations	question	machine-learning
Pseudo R squared formula for GLMs	question	r,regression,generalized-linear-model,r-squared
Computing repeatability of effects from an lmer model	question	mixed-model,reliability,intraclass-correlation,repeatability
What is the difference between confidence intervals and hypothesis testing?	question	hypothesis-testing,confidence-interval
How to compute the confidence interval of the ratio of two normal means	question	normal-distribution,confidence-interval,mean,ratio
What is the difference between generalized estimating equations and GLMM?	question	logistic,mixed-model,generalized-linear-model,interpretation,gee
Basic Simpson&#39;s paradox	question	self-study,confounding,simpsons-paradox
How to interpret variance and correlation of random effects in a mixed-effects model?	question	r,mixed-model,interpretation,panel-data
Command-line tool to calculate basic statistics for stream of values	question	descriptive-statistics,computational-statistics,computing
Self study vs a taught education?	question	self-study,references,teaching
How to deal with multicollinearity when performing variable selection?	question	r,multiple-regression,feature-selection,multicollinearity
How does one measure the non-uniformity of a distribution?	question	distributions,variance,random-variable,uniform
t-test for partially paired and partially unpaired data	question	hypothesis-testing,t-test,paired-data,change-scores
Sample size for logistic regression?	question	logistic,sample-size,assumptions,power,unbalanced-classes
Generating visually appealing density heat maps in R	question	r,data-visualization,spatial
A statistics book that explains using more images than equations	question	references
Sampling for Imbalanced Data in Regression	question	regression,sampling,unbalanced-classes
Examples of errors in MCMC algorithms	question	mcmc
What are some illustrative applications of empirical likelihood?	question	bayesian,maximum-likelihood,nonparametric,likelihood,empirical-likelihood
Variance estimates in k-fold cross-validation	question	machine-learning,cross-validation
What if your random sample is clearly not representative?	question	sampling,experiment-design,inference,sample
Existence of the moment generating function and variance	question	variance,moments,mgf
Gaussian Ratio Distribution: Derivatives wrt underlying $\mu$&#39;s and $\sigma^2$s	question	distributions,normal-distribution,references,mathematical-statistics,cdf
How to design and implement an asymmetric loss function for regression?	question	regression,error,loss-functions
What causes the discontinuity in the distribution of published p-values at p &lt; .05?	question	statistical-significance,p-value,meta-analysis
Minimum sample size for PCA or FA when the main goal is to estimate only few components?	question	pca,sample-size,factor-analysis
Introduction to causal analysis	question	references,causality
Is correlation equivalent to association?	question	correlation,terminology,non-independent
Inclusion of lagged dependent variable in regression	question	regression,lags,misspecification
What does the logit value actually mean?	question	regression,logistic,logit
What is an acceptable value of the Calinski &amp; Harabasz (CH) criterion?	question	r,clustering,panel-data
Why and when create a R package?	question	r,software
Python module for change point analysis	question	time-series,python,change-point
Difference between binomial, negative binomial and Poisson regression	question	spss,references,binomial,poisson-distribution,negative-binomial
Difference between standard and spherical k-means algorithms	question	clustering,data-mining,algorithms,k-means
In survival analysis, why do we use semi-parametric models (Cox proportional hazards) instead of fully parametric models?	question	survival,cox-model
If linear regression is related to Pearson&#39;s correlation, are there any regression techniques related to Kendall&#39;s and Spearman&#39;s correlations?	question	regression,correlation,pearson-r,spearman-rho,kendall-tau
Pitfalls in experimental design: Avoiding dead experiments	question	experiment-design
Feature map for the Gaussian kernel	question	machine-learning,svm,kernel-trick
Intuition behind logistic regression	question	regression,machine-learning,logistic
Three versions of discriminant analysis: differences and how to use them	question	classification,discriminant-analysis
What aspects of the &quot;Iris&quot; data set make it so successful as an example/teaching/test data set	question	dataset
Checking assumptions lmer/lme mixed models in R	question	r,mixed-model,assumptions,lme4-nlme
Why use Lasso estimates over OLS estimates on the Lasso-identified subset of variables?	question	regression,feature-selection,lasso,regularization
Earth Mover&#39;s Distance (EMD) between two Gaussians	question	normal-distribution,distance
Is variation the same as variance?	question	variance,descriptive-statistics,definition
Intuitive reasoning behind biased maximum likelihood estimators	question	maximum-likelihood,bias,intuition
Expected prediction error - derivation	question	regression,prediction,error
How to get an &quot;overall&quot; p-value and effect size for a categorical factor in a mixed model (lme4)?	question	r,hypothesis-testing,anova,mixed-model,lme4-nlme
What is the name of the statistical fallacy whereby outcomes of previous coin flips influence beliefs about subsequent coin flips?	question	probability,distributions,sampling
Relation between variational Bayes and EM	question	bayesian,expectation-maximization,variational-bayes
Strategy to deal with rare events logistic regression	question	logistic,rare-events
Is there a way to use the covariance matrix to find coefficients for multiple regression?	question	regression,regression-coefficients,covariance-matrix
How do I calculate confidence intervals for a non-normal distribution?	question	confidence-interval,mean
What does &quot;independent observations&quot; mean?	question	probability,sampling,multilevel-analysis,independence,assumptions
When should I apply feature scaling for my data	question	machine-learning,classification,normalization,k-nearest-neighbour,scales
Geometric interpretation of multiple correlation coefficient $R$ and coefficient of determination $R^2$	question	regression,correlation,multiple-regression,r-squared,geometry
Why is glmnet ridge regression giving me a different answer than manual calculation?	question	r,ridge-regression,glmnet
What is the distribution of $R^2$ in linear regression under the null hypothesis? Why is its mode not at zero when $k&gt;3$?	question	regression,mathematical-statistics,r-squared,intuition
What norm of the reconstruction error is minimized by the low-rank approximation matrix obtained with PCA?	question	pca,svd,matrix-decomposition
Beautifully written papers	question	references,communication
How to describe statistics in one sentence?	question	definition
The abundance of P values in absence of a hypothesis	question	probability,hypothesis-testing,statistical-significance,p-value
finding p-value in pearson correlation in R	question	r,correlation,p-value,pearson-r
10-fold Cross-validation vs leave-one-out cross-validation	question	machine-learning,cross-validation
Difference between LOESS and LOWESS	question	nonparametric,loess
What is the relationship between orthogonal, correlation and independence?	question	correlation,independence
Why is my derivation of a closed form lasso solution incorrect?	question	regression,lasso,regularization
Can anyone explain conjugate priors in simplest possible terms?	question	bayesian,conditional-probability,conjugate-prior
Why are p-values misleading after performing a stepwise selection?	question	multiple-regression,predictive-models,data-mining,stepwise-regression
Statistics concept to explain why you&#39;re less likely to flip the same number of heads as tails, as the number of flips increases?	question	probability,computational-statistics
How incorrect is a regression model when assumptions are not met?	question	regression,multiple-regression,error,assumptions,normality-assumption
Visualising many variables in one plot	question	r,data-visualization
What is the difference between dropout and drop connect?	question	neural-networks,dropout
In layman&#39;s terms what is the difference between a model and a distribution?	question	distributions,model,terminology
What are the impacts of choosing different loss functions in classification to approximate 0-1 loss	question	machine-learning,classification,optimization,loss-functions
What is the reason that the Adam Optimizer is considered robust to the value of its hyper parameters?	question	neural-networks,deep-learning,optimization,hyperparameter,adam
Can you explain Parzen window (kernel) density estimation in layman&#39;s terms?	question	pdf,kernel-smoothing,intuition,density-estimation
LASSO with interaction terms - is it okay if main effects are shrunk to zero?	question	machine-learning,lasso,glmnet,shrinkage,penalized
Is hour of day a categorical variable?	question	categorical-data,circular-statistics
Are mixed models useful as predictive models?	question	mixed-model,predictive-models
The origin of the term &quot;regularization&quot;	question	terminology,regularization,history,tikhonov-regularization
How can the regression error term ever be correlated with the explanatory variables?	question	regression
Why do we take the square root of variance to create standard deviation?	question	variance,standard-deviation
What problem does oversampling, undersampling, and SMOTE solve?	question	machine-learning,classification,predictive-models,unbalanced-classes
I&#39;ve heard that ratios or inverses of random variables often are problematic, in not having expectations. Why is that?	question	probability,distributions,random-variable,expected-value,ratio
What is the statistical model behind the SVM algorithm?	question	machine-learning,svm,modeling
Explanation of min_child_weight in xgboost algorithm	question	machine-learning,xgboost,hessian
Why not use the third derivative for numerical optimization?	question	optimization,gradient-descent,hessian
What is the difference Cross-entropy and KL divergence?	question	entropy,kullback-leibler,cross-entropy
Does a uniform distribution of many p-values give statistical evidence that H0 is true?	question	hypothesis-testing,p-value,combining-p-values
Did Deborah Mayo refute Birnbaum&#39;s proof of the likelihood principle?	question	mathematical-statistics,likelihood-principle
Did Statistics.com publish the wrong answer?	question	probability,bayesian,puzzle
Why is a mixture of two normally distributed variables only bimodal if their means differ by at least two times the common standard deviation?	question	bimodal
Are there 99 percentiles, or 100 percentiles? And are they groups of numbers, or dividers or pointers to individual numbers?	question	quantiles
If teachers account for 30% of variance of student achievement, can a teacher have 30% increase in achievement by teaching better?	question	variance
How can one empirically demonstrate in R which cross-validation methods the AIC and BIC are equivalent to?	question	r,aic,cross-validation,bic
What&#39;s the difference between a probability and a proportion?	question	probability,intuition
Clustering variables based on correlations between them	question	correlation,clustering,correlation-matrix
How to cope with exploratory data analysis and data dredging in small-sample studies?	question	multiple-comparisons,epidemiology,small-sample,eda
From a statistical perspective, can one infer causality using propensity scores with an observational study?	question	causality,propensity-scores
Statistics and data mining software tools for dealing with large datasets	question	large-data,software,data-mining
Probability of not drawing a word from a bag of letters in Scrabble	question	sampling,games,probability
Do negative probabilities/probability amplitudes have applications outside quantum mechanics?	question	probability
How does one do a Type-III SS ANOVA in R with contrast codes?	question	r,anova,contrasts,sums-of-squares
Symbolic computation in R?	question	r
How to measure/rank &quot;variable importance&quot; when using CART? (specifically using {rpart} from R)	question	r,classification,model-selection,cart,rpart
Does correlation assume stationarity of data?	question	correlation,stationarity
Is a vague prior the same as a non-informative prior?	question	bayesian,prior,terminology
Why are Jeffreys priors considered noninformative?	question	bayesian,prior
Clustering procedure where each cluster has an equal number of points?	question	machine-learning,clustering,k-means,unsupervised-learning
When should I *not* use R&#39;s nlm function for MLE?	question	r,maximum-likelihood
What should I check for normality: raw data or residuals?	question	normality-assumption,residuals,assumptions
Is it meaningful to test for normality with a very small sample size (e.g., n = 6)?	question	hypothesis-testing,normality-assumption,kolmogorov-smirnov,power
Meaning of p-values in regression	question	probability,regression
Converting standard error to standard deviation?	question	standard-deviation,standard-error
Testing for linear dependence among the columns of a matrix	question	r,correlation,pca,linear-model,svd
How to interpret coefficient standard errors in linear regression?	question	r,regression,interpretation
Is cross validation a proper substitute for validation set?	question	machine-learning,classification,cross-validation,text-mining
Why is there an asymmetry between the training step and evaluation step?	question	machine-learning,cross-validation
Appropriate residual degrees of freedom after dropping terms from a model	question	r,regression,model-selection,regression-strategies
Are gridlines and grey backgrounds chartjunk and should they be used only on an exception basis?	question	data-visualization,ggplot2
Predicting with both continuous and categorical features	question	classification,predictive-models,categorical-data,continuous-data,discrete-data
Example reports for mixed-model analysis using lmer in biology, psychology and medicine?	question	r,mixed-model,repeated-measures,lme4-nlme,references
How to construct a 95% confidence interval of the difference between medians?	question	confidence-interval,bootstrap,median,clinical-trials
How to add non-linear trend line to a scatter plot in R?	question	r,data-visualization,nonlinear-regression,trend
How to include an interaction term in GAM?	question	r,time-series,data-visualization,gam
How to define the termination condition for gradient descent?	question	algorithms,optimization,gradient-descent
Reversing PCA back to the original variables	question	pca
Converting similarity matrix to (euclidean) distance matrix	question	random-forest,distance,similarities,euclidean
ROC curve for discrete classifiers like SVM: Why do we still call it a &quot;curve&quot;?, Isn&#39;t it just a &quot;point&quot;?	question	cross-validation,roc,auc
Introductory reading on Copulas	question	correlation,references,marginal,copula
Advantages of doing &quot;double lasso&quot; or performing lasso twice?	question	regression,lasso,regularization,shrinkage,lars
Prerequisites for AIC model comparison	question	regression,model-selection,aic,model-comparison,nested-models
In a multi-level model, what are the practical implications of estimating versus not-estimating random effect correlation parameters?	question	r,mixed-model,lme4-nlme,random-effects-model
What can cause PCA to worsen results of a classifier?	question	classification,pca,feature-selection
How do Bayesians compare distributions?	question	distributions,bayesian
How to sample from a discrete distribution?	question	probability,distributions,random-generation,weighted-sampling
Drawing from Dirichlet distribution	question	sampling,dirichlet-distribution
Have I correctly specified my model in lmer?	question	r,mixed-model,lme4-nlme
Cross-validation or bootstrapping to evaluate classification performance?	question	machine-learning,classification,predictive-models,cross-validation,bootstrap
Intuition behind standard deviation	question	standard-deviation,intuition
Why is logistic regression a linear model?	question	regression,logistic,terminology
The difference of kernels in SVM?	question	machine-learning,svm,pattern-recognition,kernel-trick
What does &#39;highly non linear&#39; mean?	question	terminology,nonlinear,mathematical-statistics
Functions of Independent Random Variables	question	probability,self-study,random-variable,independence
Assumptions of linear models and what to do if the residuals are not normally distributed	question	linear-model,residuals,assumptions,normality-assumption
Why would anyone use KNN for regression?	question	regression,machine-learning,k-nearest-neighbour
What are &#39;aliased coefficients&#39;?	question	r,regression
Simulate a uniform distribution on a disc	question	random-generation,circular-statistics
What&#39;s wrong with t-SNE vs PCA for dimensional reduction using R?	question	r,pca,tsne
How can top principal components retain the predictive power on a dependent variable (or even lead to better predictions)?	question	regression,classification,pca,dimensionality-reduction,regularization
Can a Multinomial(1/n, ..., 1/n) be characterized as a discretized Dirichlet(1, .., 1)?	question	distributions,bayesian,bootstrap,multinomial,dirichlet-distribution
Why is nls() giving me &quot;singular gradient matrix at initial parameter estimates&quot; errors?	question	r,self-study,exponential,starting-values
When can correlation be useful without causation?	question	correlation,predictive-models,causality
Diagnostics for generalized linear (mixed) models (specifically residuals)	question	generalized-linear-model,residuals,negative-binomial,count-data,glmm
Why do smaller weights result in simpler models in regularization?	question	regression,machine-learning,optimization,regularization,overfitting
How to initialize the elements of the filter matrix?	question	machine-learning,neural-networks,deep-learning,feature-engineering,conv-neural-network
When is it appropriate to use an improper scoring rule?	question	classification,forecasting,scoring-rules
Classification/evaluation metrics for highly imbalanced data	question	classification,unbalanced-classes,precision-recall,cohens-kappa,model-evaluation
How to interpret root mean squared error (RMSE) vs standard deviation?	question	standard-deviation,standard-error,rms
How to determine the confidence of a neural network prediction?	question	regression,machine-learning,neural-networks,confidence-interval,prediction-interval
Two dice rolls - same number in sequence	question	probability,self-study,conditional-probability
Why is softmax output not a good uncertainty measure for Deep Learning models?	question	probability,deep-learning,conv-neural-network,uncertainty,softmax
Is a &quot;hurdle model&quot; really one model? Or just two separate, sequential models?	question	r,count-data,zero-inflation
When should I use a variational autoencoder as opposed to an autoencoder?	question	deep-learning,autoencoders,variational-bayes
What is the Bayesian justification for privileging analyses conducted earlier than other analyses?	question	bayesian
Can&#39;t deep learning models now be said to be interpretable? Are nodes features?	question	neural-networks,deep-learning,interpretation
What are attention mechanisms exactly?	question	time-series,deep-learning,lstm,rnn,attention
How much lung cancer is really caused by smoking?	question	epidemiology,population-attributable-fraction
Do error bars on probabilities have any meaning?	question	probability,error
How do DAGs help to reduce bias in causal inference?	question	inference,causality,dag
Book recommendations for multivariate analysis	question	references,multivariate-analysis
Correcting p values for multiple tests where tests are correlated (genetics)	question	correlation,multiple-comparisons,statistical-significance,genetics
Visualizing Likert Item Response Data	question	data-visualization,scales,likert
What is the expected correlation between residual and the dependent variable?	question	regression,residuals
Seeking certain type of ARIMA explanation	question	time-series,arima,intuition
Likelihood ratio test in R	question	r,logistic,diagnostic
How to calculate Zipf&#39;s law coefficient from a set of top frequencies?	question	distributions,estimation,pareto-distribution,zipf
Does the distribution $\log(1 + x^{-2}) / 2\pi$ have a name?	question	distributions,probability
How to understand output from R&#39;s polr function (ordered logistic regression)?	question	r,logistic
Algorithm to dynamically monitor quantiles	question	algorithms,quantiles
Import stock price from Yahoo Finance into R?	question	r
Column-wise matrix normalization in R	question	r,data-transformation,normalization,matrix
STL trend of time series using R	question	r,time-series,trend
Time taken to hit a pattern of heads and tails in a series of coin-tosses	question	r,probability,stochastic-processes
Support vector machines and regression	question	regression,machine-learning,svm
Differences between MANOVA and Repeated Measures ANOVA?	question	anova,repeated-measures,manova,sphericity
Why use Monte Carlo method instead of a simple grid?	question	monte-carlo
What is the difference between Kalman filter and moving average?	question	kalman-filter
Why is gender typically coded 0/1 rather than 1/2, for example?	question	data-transformation,binary-data,categorical-encoding,units
What are some standard practices for creating synthetic data sets?	question	modeling,reproducible-research,synthetic-data
How likely am I to be descended from a particular person born in the year 1300?	question	probability,stochastic-processes,genetics
Ziliak (2011) opposes the use of p-values and mentions some alternatives; what are they?	question	r,hypothesis-testing,statistical-significance,bayesian,p-value
Measuring accuracy of a logistic regression-based model	question	regression,logistic,r-squared
When to use the Wilcoxon rank-sum test instead of the unpaired t-test?	question	t-test,wilcoxon-mann-whitney
What do statisticians do that can&#39;t be automated?	question	machine-learning,dataset,careers
Interpreting plot of residuals vs. fitted values from Poisson regression	question	r,self-study,generalized-linear-model,poisson-regression
Changing the scale of a variable to 0-100	question	data-transformation,scales
What is the mathematical difference between random- and fixed-effects?	question	mathematical-statistics,mixed-model,random-effects-model,fixed-effects-model
How to do logistic regression in R when outcome is fractional (a ratio of two counts)?	question	r,logistic,multinomial
How does leave-one-out cross-validation work? How to select the final model out of $n$ different models?	question	cross-validation
Geometric interpretation of penalized linear regression	question	regression,intuition,geometry
Can the Mantel test be extended to asymmetric matrices?	question	statistical-significance,assumptions,distance
The relationship between the gamma distribution and the normal distribution	question	normal-distribution,gamma-distribution
Detecting outliers using standard deviations	question	outliers
Strategies for introducing advanced statistics to various audiences	question	consulting
Is there a &quot;hello, world&quot; for statistical graphics?	question	data-visualization
Bayesian batting average prior	question	bayesian,prior
Specifying multiple (separate) random effects in lme	question	r,random-effects-model,lme4-nlme
Standard deviation of binned observations	question	variance,standard-deviation,weighted-sampling
Collinearity diagnostics problematic only when the interaction term is included	question	r,multicollinearity,vif,variance-decomposition
Fit a sinusoidal term to data	question	r,regression,fitting
Transforming variables for multiple regression in R	question	r,regression,multiple-regression,data-transformation
LSA vs. PCA (document clustering)	question	clustering,pca,data-mining,svd,lsa
Bound for Arithmetic Harmonic mean inequality for matrices?	question	multiple-regression,variance,linear-model,least-squares,matrix
What&#39;s the Bayesian equivalent of a general goodness of fit test?	question	bayesian,goodness-of-fit
How to use R prcomp results for prediction?	question	r,pca
How to interpret the dendrogram of a hierarchical cluster analysis	question	interpretation,hierarchical-clustering,dendrogram
Why is the Expectation Maximization algorithm guaranteed to converge to a local optimum?	question	missing-data,convergence,expectation-maximization
how to represent geography or zip code in machine learning model or recommender system?	question	machine-learning,feature-engineering,many-categories
Why do these statements not follow logically from a 95% CI for the mean?	question	hypothesis-testing,confidence-interval
How do you find weights for weighted least squares regression?	question	regression,heteroscedasticity,weighted-regression
Machine learning algorithms to handle missing data	question	machine-learning,missing-data
Bayesian lasso vs ordinary lasso	question	r,machine-learning,linear-model,lasso
What is the daily job routine of the machine learning scientist?	question	machine-learning,data-mining,careers
Why is Python&#39;s scikit-learn LDA not working correctly and how does it compute LDA via SVD?	question	python,scikit-learn,dimensionality-reduction,discriminant-analysis,svd
When to avoid Random Forest?	question	machine-learning,classification,random-forest
Distribution hypothesis testing - what is the point of doing it if you can&#39;t &quot;accept&quot; your null hypothesis?	question	hypothesis-testing,distributions,goodness-of-fit,ecdf
Why do I get zero variance of a random effect in my mixed model, despite some variation in the data?	question	r,mixed-model,stata,glmm,lme4-nlme
How to generate a large full-rank random correlation matrix with some strong correlations present?	question	random-generation,covariance-matrix,correlation-matrix
Do Bayesians accept Kolmogorov&#39;s axioms?	question	probability,bayesian,kolmogorov-axioms
Interpretation of ridge regularization in regression	question	regression,pca,regularization,ridge-regression
What is the difference between errors and residuals?	question	residuals,error,terminology
Why are rectified linear units considered non-linear?	question	neural-networks,deep-learning
Daily Time Series Analysis	question	r,time-series,seasonality,multiple-seasonalities,tbats
R caret and NAs	question	r,missing-data,data-imputation,caret
Coordinate vs. gradient descent	question	optimization,gradient-descent
Should I make decisions based on micro-averaged or macro-averaged evaluation measures?	question	machine-learning,cross-validation
How does quantile regression &quot;work&quot;?	question	quantile-regression
Correlation between OLS estimators for intercept and slope	question	regression,least-squares,estimators
Bootstrapping vs Bayesian Bootstrapping conceptually?	question	bayesian,sampling,bootstrap
Why use gradient descent with neural networks?	question	neural-networks,gradient-descent,backpropagation
What is pre training a neural network?	question	neural-networks,pre-training
Do Bayesian priors become irrelevant with large sample size?	question	bayesian,prior
What are variable importance rankings useful for?	question	multiple-regression,multivariate-analysis,importance
How do bottleneck architectures work in neural networks?	question	residuals,deep-learning,conv-neural-network
What are the classical notations in statistics, linear algebra and machine learning? And what are the connections between these notations?	question	machine-learning,probability,self-study,optimization
Intuition for Conditional Expectation of $\sigma$-algebra	question	probability,conditional-probability,conditional-expectation,conditioning,sigma-algebra
Dropping one of the columns when using one-hot encoding	question	regression,machine-learning,categorical-data,discrete-data,categorical-encoding
